Position,Team,Rating
1,India,264
2,U.S.A..,165
3,Canada,125
4,Pakistan,244
5,Ireland,197
6,Scotland,189
7,Australia,257
8,Namibia,189
9,England,254
10,Oman,165
11,Afganistan,217
12,West Indies,252
13,Uganda,134
14,P.N.G,147
15,New Zealand,250
16,South Africa,244
17,Bangladesh,226
18,Netherland,184
19,Nepal,171
20,Srilanka,232
